partner_code,car_number,maker,model_name,sub_model,trim_name,options,ext_color,int_color,year,mileage,fuel_type,policy_code,vehicle_status,product_type,vehicle_class,vehicle_price,first_registration_date,partner_memo,photo_link,rent_1,deposit_1,rent_12,deposit_12,rent_24,deposit_24,rent_36,deposit_36,rent_48,deposit_48,rent_60,deposit_60
RP005,142호3626,기아,모하비,모하비 3.0D 마스터스 그래비티 4WD 6인승,3.0D 마스터스 그래비티 4WD 6인승,"렉시콘팩, 선루프",화이트,블랙,,22500,디젤,,출고가능,중고렌트,,,24년9월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1Z3y0oInKcr0EU8ShVIKZqeuT72BzgDAs?usp=drive_link,,,1550000,,1500000,3000000,1450000,3000000,1400000,3000000,1350000,3000000
RP005,101허4342,기아,셀토스,셀토스 SP2 19~,가솔린 1.6 2WD 프레스티지,"기본형- 드라이브와이즈,내비게이션",블랙,블랙,,51000,가솔린,,출고가능,중고렌트,,,22년 4월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/open?id=1loI3DwPwzOnzJ-4edIToZ7QFuW2HRHaG&usp=drive_fs,,,,,630000,1000000,600000,1000000,,1000000,,1000000
RP005,125호7638,기아,스포티지,스포티지 NQ5 21~,1.6T 프레스티지 2WD,"드라이브 와이즈, 내비게이션",화이트,블랙,,42000,가솔린,,출고가능,중고렌트,,,22년12월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,,,,,,840000,1000000,810000,1000000,780000,1000000,750000,1000000
RP005,101호7872,기아,스포티지,스포티지 NQ5 21~,1.6T 프레스티지,내비게이션,블랙,블랙,,78000,가솔린,,출고가능,중고렌트,,,21년9월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1AEPw6uA_0X2UDd8HoktYeg9MGbMHf_Bi?usp=drive_link,,,,,730000,1000000,700000,1000000,,1000000,,1000000
RP005,142호3627,현대,싼타페,싼타페 MX5 23~,2.5 프레스티지 5인승,"듀얼 와이드 선루프, 파킹 어시스트 플러스I, 헤드업 디스플레이, 시트 플러스",화이트,블랙,,27500,가솔린,,출고가능,중고렌트,,,24년9월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1vSAkRzBCtr6iZf3XWoUc3DAga8Ib-033?usp=drive_link,,,,,1050000,1500000,1000000,1500000,950000,1500000,900000,1500000
RP005,125호8928,기아,쏘렌토,쏘렌토 MQ4 20~,2.5 프레스티지 5인승,"내비게이션, 스타일, 선루프, 드라이브 와이즈",화이트,브라운,,38000,가솔린,,출고가능,중고렌트,,,23년7월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1-Pd-Nnt7smwm_tS-KVxBx3a9x3Y46xQP?usp=drive_link,,,,,980000,1500000,930000,1500000,880000,1500000,830000,1500000
RP005,101하8578,기아,쏘렌토,쏘렌토 MQ4 20~,2.5 가솔린 2WD 5인승 프레스티지,"기본형-드라이브와이즈,선루프,내비게이션",화이트,브라운,,68000,가솔린,,출고가능,중고렌트,,,22년6월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1yD_BHMpaEQ4L1ic6CBNYoSDe0seqZXSN?usp=drive_link,,,,,1000000,1500000,950000,1500000,900000,1500000,850000,1500000
RP005,125호8930,기아,쏘렌토,쏘렌토 MQ4 20~,2.5T 2WD 5인승 프레스티지,"드라이브와이즈, 스타일, 내비게이션",화이트,블랙,,29500,가솔린,,출고가능,중고렌트,,,23년1월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/125iXzBXqX7OuqOrckbU9AQ4e-O9KHUU-?usp=drive_link,,,,,980000,1500000,930000,1500000,880000,1500000,830000,1500000
RP005,142호2072,기아,쏘렌토,쏘렌토 MQ4 20~,2.5 그래비티 2WD,-,화이트,블랙,,15500,가솔린,,출고가능,중고렌트,,,24년11월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1yTuNAFfaUTpGWCjd-tgf8mw9ImM6Tmce?usp=drive_link,,,,,1050000,1500000,1000000,1500000,950000,1500000,900000,1500000
RP005,101호7918,현대,아반떼,아반떼 CN7 20~,1.6 LPG 스마트,"17인치 알로이휠&타이어 , 하이패스 ,인포테인먼트내비II, 선루프, 통합 디스플레이",블랙,블랙,,65500,LPG,,출고가능,중고렌트,,,22년2월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,,,,,,610000,1000000,580000,1000000,550000,1000000,,1000000
RP005,125호9035,기아,카니발,카니발 KA4 20~,3.5T 시그니처 9인승,드라이브와이즈. 스타일,화이트,베이지,,73000,가솔린,,출고가능,중고렌트,,,23년 12월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/1Y5Gq3SAKivNcZOWPhy8aJI1O35UhHjtf?usp=drive_link,,,1200000,,1150000,2000000,1100000,2000000,1050000,2000000,1000000,2000000
RP005,125호5192,기아,카니발,카니발 KA4 20~,3.5 9인승 시그니처,"컴포트,드라이브와이즈, KRELL사운드, 스마트커넷트, 스타일",화이트,브라운,,53000,가솔린,,출고가능,중고렌트,,,23년5월,21세 불가 / 보증금 2회분납 가능 / 단독사고 면책금 2배 청구,https://drive.google.com/drive/folders/14GTSGK9rfa1RvQ-unMFgvSYe2cRXBVN9?usp=drive_link,,,,,1100000,1500000,1050000,1500000,1000000,1500000,950000,1500000
